M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Set up TypeScript + Vite build toolchain	Establish the TypeScript + Vite build toolchain for the Chrome extension. Decisions to make when picking this up: TypeScript version, module resolution, Vite plugin for MV3 (e.g. @crxjs/vite-plugin), output layout. Produces a runnable `npm run build` that emits a loadable MV3 `dist/`. Document setup in CONTRIBUTING.md (remove the TODO(#2) placeholder).
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Set up ESLint + Prettier + editorconfig	Add ESLint (TypeScript rules), Prettier, and a `.editorconfig`. Wire `npm run lint` and `npm run format`. Decide on rule set (recommended: `@typescript-eslint/recommended` + `eslint-config-prettier`).
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Create MV3 manifest.json	Author the `manifest.json` for Manifest V3: `manifest_version: 3`, `action`, `background.service_worker`, `content_scripts`, `options_page`, `permissions` (`storage`, `activeTab`, `scripting`), `host_permissions` (`<all_urls>`), `web_accessible_resources` (fonts — see issue #10), `commands` (hotkey — see issue #34), `icons` (16/48/128 — see issue #11). Document each permission's justification in-repo (precursor to the store-listing permission-justification doc).
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Scaffold service worker	Create the MV3 service worker entry point. Responsibilities: handle `chrome.action.onClicked` (or popup-driven trigger), respond to messages from content script, register `chrome.commands` hotkey. Keep heavy work out of the worker (extraction + rendering live in the content script) — the worker only coordinates.
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Scaffold content script	Create the content script entry point. Responsibilities: receive activation messages from the service worker, run extraction (issue #17), mount the overlay (issue #19), handle selection fallback (issue #18). Content script is where all DOM work happens.
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Scaffold browser-action popup	Create the popup UI for the browser action. Minimal content: SpeedReader icon + title, "Start reading" button, "Open settings" link, and a graceful "Not available on this page" state for restricted pages (`chrome://`, Web Store, etc.).
M1: MVP parity	area:settings,scope:chrome-port,phase-1,enhancement	Scaffold options page	Create the options page scaffold and wire `options_page` in the manifest. Minimal render path + `chrome.storage.sync` read/write hookup. Full options UI lives in issue #30.
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Organize src/core vs src/chrome for future shared-core extraction	Structure the repo so platform-agnostic code (RSVP engine, extraction logic, settings schema, overlay UI) lives in `src/core/` and Chrome-specific glue (service worker, content script, popup, options, `chrome.*` APIs) lives in `src/chrome/`. Do not extract `src/core` into its own package now — just keep the boundary clean so extraction is possible later. Document the boundary in STRUCTURE.md (issue #41).
M1: MVP parity	area:fonts,scope:chrome-port,phase-1,enhancement	Configure web_accessible_resources for bundled fonts	Bundle OpenDyslexic (and the other 4 fonts from issue #28) as extension-local assets and declare them in `manifest.json` `web_accessible_resources` so the content script can reference them from injected overlay styles. Verify font-loading works on CSP-strict pages.
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Create extension icon assets (16/48/128)	Produce PNG icons at 16x16, 48x48, and 128x128. Source from the Safari extension's icon set if it ports cleanly, otherwise commission a new set. Store under `assets/icons/`. Referenced from `manifest.json` `icons` and `action.default_icon`.
M1: MVP parity	area:build,scope:chrome-port,phase-1,enhancement	Set up GitHub Actions CI	Add a workflow (`.github/workflows/ci.yml`) that runs on PRs to `main`: install, lint (issue #3), typecheck, test (issue #37), build. Matrix on Node LTS. Cache `node_modules`. Fails the PR on any red step.
M1: MVP parity	area:rsvp-engine,scope:parity,phase-1,enhancement	Core RSVP word-display engine with timing	Implement the word-by-word display engine: takes an array of words, emits them at a cadence derived from WPM (issue #16), respects pause/resume, emits current-word events for the overlay. Pure TS, no DOM — lives in `src/core/`. Test with Vitest fakes for timing.
M1: MVP parity	area:rsvp-engine,scope:parity,phase-1,enhancement	ORP (optimal recognition point) per-word highlighting	Compute the optimal recognition point for each word (the letter index that the eye anchors to — commonly floor((len-1)/2.5) or similar heuristic). Engine emits `{ word, orpIndex }` so the overlay can render the ORP character in a contrasting color. Decide on the heuristic by testing against the Safari implementation's output for a fixed corpus.
M1: MVP parity	area:rsvp-engine,scope:parity,phase-1,enhancement	Punctuation pacing	Extend the RSVP engine to add micro-pauses after words ending in `. , ; : ! ?` so content flows like speech rather than a strobe light. Configurable on/off via settings (default on). Tune pause multipliers against the Safari implementation.
M1: MVP parity	area:rsvp-engine,scope:parity,phase-1,enhancement	WPM control (100–600)	Expose WPM as a user-controllable parameter. Range 100–600, step 10, default 250. Live-update the engine cadence when the setting changes mid-playback (don't require restart).
M1: MVP parity	area:extraction,scope:parity,phase-1,enhancement,needs-spec	Article extraction via Readability	Extract the main article text from the current page. needs-spec: decide between (a) Mozilla Readability library, (b) a direct port of the Safari extractor, or (c) a hybrid. Evaluate on a fixture corpus covering blogs, news sites, SPAs, and paywalled pages. Output: normalized plain-text words for the RSVP engine. Falls back to selection-only mode (issue #18) when extraction fails.
M1: MVP parity	area:extraction,scope:parity,phase-1,enhancement	Text-selection fallback	When the user has selected text on the page, SpeedReader should read just the selection instead of running automatic extraction. This is the user-facing recovery path when auto-extraction fails on SPAs, paywalls, or odd DOM structures. Triggered from popup ("Read selection") and/or keyboard shortcut.
M1: MVP parity	area:overlay-ui,scope:parity,phase-1,enhancement	Overlay layout with focus-point word display	Render the RSVP overlay as an injected UI element: full-page-blocking modal, centered word with ORP-highlighted character, dims the underlying page. Accessible (focus trap, aria-live for current word, keyboard-friendly).
M1: MVP parity	area:overlay-ui,scope:parity,phase-1,enhancement	Context preview on pause	When paused, show the surrounding sentence (previous + current + next few words) so the user can re-orient. Show the current word within the sentence in bold. Hide on resume.
M1: MVP parity	area:overlay-ui,scope:parity,phase-1,enhancement	Overlay chrome (close button, control bar)	Render the overlay chrome: close button (top-right), control bar (bottom) with play/pause, prev/next sentence, speed slider, WPM readout. Mobile-friendly touch targets (≥44px).
M1: MVP parity	area:controls,scope:parity,phase-1,enhancement	Play / pause	Tap/click anywhere on the overlay to pause or resume. Space key also pauses/resumes. Visual state: dim the word when paused.
M1: MVP parity	area:controls,scope:parity,phase-1,enhancement	Previous / next sentence	Buttons in the control bar jump to the previous/next sentence boundary. Left/right arrow keys do the same. Sentence boundaries detected by the extractor (issue #17).
M1: MVP parity	area:controls,scope:parity,phase-1,enhancement	Speed slider + ↑ ↓ adjustment	Slider in the control bar adjusts WPM (issue #16). Up/down arrow keys increment/decrement by 10 WPM. Live-update the engine.
M1: MVP parity	area:controls,scope:parity,phase-1,enhancement	Close (Esc + ✕)	Esc key and ✕ button both close the overlay and restore the page. Preserve reading position in memory for the session (see future issue #48 for persistence).
M1: MVP parity	area:theming,scope:parity,phase-1,enhancement	Light / dark / system theme	Theme the overlay. Default: follow the system (prefers-color-scheme). User override in settings: Light, Dark, System. Live-updates when the system theme changes.
M1: MVP parity	area:fonts,scope:parity,phase-1,enhancement	OpenDyslexic font toggle	Toggle in settings: System (San Francisco/default) vs OpenDyslexic. Font bundled as a web-accessible resource (issue #10). Applies to the overlay only, not the host page.
M1: MVP parity	area:fonts,scope:parity,phase-1,enhancement	Font picker (5 fonts matching Safari)	Expand the font toggle (issue #27) into a picker with the same 5 fonts the Safari extension offers. Decide the exact font list by inspecting the Safari repo's font manifest when picking up this issue. Bundle all 5 as web-accessible resources.
M1: MVP parity	area:fonts,scope:parity,phase-1,enhancement	Font-size stepper	Stepper control in the overlay: decrease/increase font size. Range and step matches the Safari implementation. Persists to `chrome.storage.sync`.
M1: MVP parity	area:settings,scope:parity,phase-1,enhancement	Options page UI	Build the full options page UI. Sections: Speed (default WPM), Appearance (theme, font, font size), Pacing (punctuation pausing on/off), Shortcuts (reference card). Read/write `chrome.storage.sync` (issue #31). Uses the settings schema from issue #32.
M1: MVP parity	area:settings,scope:parity,phase-1,enhancement	Settings persistence via chrome.storage.sync	Persist all user settings (WPM, theme, font, font size, punctuation pausing) to `chrome.storage.sync` so they sync across the user's Chrome profile. Handle read-before-ready (debounce writes, initial-load defaults). No companion app — the options page is the settings home.
M1: MVP parity	area:settings,scope:parity,phase-1,enhancement,needs-spec	Settings schema + migration strategy	needs-spec: define the versioned settings schema used by `chrome.storage.sync`. Capture: field names, defaults, types, version field, migration function signature. Ship a v1 schema in this issue; the migration hook lands now so future changes don't break old installs.
M1: MVP parity	area:keyboard,scope:parity,phase-1,enhancement	In-overlay keyboard shortcuts	Wire keyboard shortcuts while the overlay is focused: Space (play/pause), ← → (prev/next sentence), ↑ ↓ (speed ±10 WPM), Esc (close). Shortcuts are scoped to the overlay's focus trap — they never fire when overlay is closed or unfocused, preventing collisions with page hotkeys (e.g., YouTube Space, Docs arrows).
M1: MVP parity	area:keyboard,scope:parity,phase-1,enhancement	chrome.commands hotkey to open reader	Register a `commands` entry in `manifest.json` so users can open SpeedReader via a keyboard shortcut (e.g., Alt+S) configurable at `chrome://extensions/shortcuts`. Default suggested key: Alt+S (Mac: Alt+S). Document in README + options page.
M1: MVP parity	area:responsive,area:overlay-ui,scope:chrome-port,phase-1,enhancement,needs-spec	Responsive overlay 320 px → 4K	needs-spec: define breakpoint strategy and overlay layout rules for 320 px phones through 4K monitors. Decide: single fluid layout vs. a small number of named breakpoints, how control bar adapts to narrow widths, how the word-area scales (vw units vs. clamp()), how large-screen behavior avoids an over-large word.
M1: MVP parity	area:responsive,area:controls,scope:chrome-port,phase-1,enhancement	Touch controls for phone / tablet viewports	When the overlay is rendered on touch-primary viewports (no pointer:fine media query), enlarge tap targets, switch to tap-to-pause (no keyboard shortcuts expected), and ensure the control bar stays thumb-reachable. Depends on issue #35's breakpoint decisions.
M1: MVP parity	area:testing,scope:chrome-port,phase-1,enhancement	Vitest unit-test harness	Set up Vitest for unit-testing `src/core/` (RSVP engine, extraction, settings schema, ORP computation). Wire `npm test`. Exclude `src/chrome/` from unit tests — those require an extension runtime (issue #38).
M1: MVP parity	area:testing,scope:chrome-port,phase-1,enhancement	Playwright E2E harness for the extension	Set up Playwright with the `--load-extension` flag to drive a real Chromium instance with SpeedReader loaded. Wire `npm run test:e2e`. Cover: popup opens, extraction runs on a fixture page, overlay renders, play/pause works. Runs in CI (headless).
M1: MVP parity	area:testing,scope:parity,phase-1,enhancement	Port applicable Safari JS unit tests	Review the Safari repo's JS test suite. Port tests that cover logic we're reusing (ORP computation, punctuation pacing, extraction heuristics, settings migrations). Skip Safari-specific tests (Swift tests, Safari regression harness). Target: shared-core tests run unchanged on both platforms in the future.
M1: MVP parity	area:docs,scope:parity,phase-1,enhancement	PRINCIPLES.md (port + Chrome-adapt)	Port the Safari repo's `PRINCIPLES.md` to this repo. Adapt any Safari/Apple-specific wording. Keep the core principles (accessibility-first, no tracking, simple UX, keyboard-accessible, respect system settings) intact.
M1: MVP parity	area:docs,scope:chrome-port,phase-1,enhancement	STRUCTURE.md documenting repo layout	Document the repo structure: `src/core` vs `src/chrome` boundary, assets, tests, scripts, docs. Updated whenever structure changes. Linked from CLAUDE.md.
M1: MVP parity	area:docs,scope:chrome-port,phase-1,enhancement	CHANGELOG.md (keep-a-changelog)	Add a `CHANGELOG.md` following keep-a-changelog.com format. Seed with the `[Unreleased]` section. Every PR updates it; every release promotes `[Unreleased]` to a dated version.
M1: MVP parity	area:store-listing,scope:chrome-port,phase-1,enhancement	Store listing assets (screenshots, description, icon)	Produce Chrome Web Store listing assets: 3–5 screenshots at 1280×800 or 640×400, a short description (≤132 chars), a detailed description (Markdown-ish), promotional tile (440×280), store icon (128×128). Reuse Safari screenshots where they translate; take fresh Chrome screenshots across viewports (desktop, tablet, mobile).
M1: MVP parity	area:store-listing,scope:chrome-port,phase-1,enhancement	Privacy policy	Write a privacy policy (the Chrome Web Store requires one when broad host permissions are requested). Accurate claims: no data leaves the device, no analytics, no network calls, no account. Host as `PRIVACY.md` in-repo and as a static GitHub Pages URL referenced by the store listing.
M1: MVP parity	area:store-listing,scope:chrome-port,phase-1,enhancement	Permission-justification document	Write the in-repo justification document (linked from the store listing) explaining every permission and host permission requested: `<all_urls>` (article extraction on any page), `activeTab`, `storage`, `scripting`, `commands`. Each entry names the feature that needs it.
M1: MVP parity	area:store-listing,scope:chrome-port,phase-1,enhancement	First Chrome Web Store submission	Submit the first release to the Chrome Web Store. Checklist: build a signed zip of `dist/`, complete the developer account (one-time $5 fee), upload, fill in listing fields (issue #43), attach privacy policy (issue #44) and permission justification (issue #45), submit for review, respond to any reviewer feedback.
M2: v1 remaining	area:controls,scope:parity,future,enhancement	Progress scrubber	Add a progress scrubber/timeline to the overlay showing reading position within the article. Draggable to jump. Appears on hover/tap; auto-hides during active reading.
M2: v1 remaining	area:rsvp-engine,area:settings,scope:parity,future,enhancement	Reading-position memory	Persist reading position per-URL so closing and reopening SpeedReader resumes where the user left off. Bound by storage quota — use `chrome.storage.local` with an LRU cap. User-facing: "resume" vs "start over" prompt on reopen.
M2: v1 remaining	area:settings,scope:parity,future,enhancement	Reading history	Keep a list of recently-read articles with timestamps and resume state. Accessible from the popup. Respect privacy: opt-in, clearable.
M2: v1 remaining	area:theming,scope:parity,future,enhancement	Background-color customization	Add a custom background-color picker for the overlay (accessible via options page). Common presets (black, cream, sepia, etc.) plus a color input. Complements the existing light/dark/system theme.
M2: v1 remaining	area:rsvp-engine,scope:parity,future,enhancement	Chunk size (2–3 word display)	Allow displaying 2 or 3 words at once instead of one. Options-page setting. Reuses ORP logic per-word. Useful for faster readers who want more context at a glance.
